State,Biden,Trump,Difference,538_Prediction
Wyoming,28.82121,65.66372,-36.84251,Trump
West Virginia,35.67,59.39072,-23.72072,Trump
Oklahoma,36.03907,58.10899,-22.06992,Trump
Idaho,37.27945,57.17681,-19.89736,Trump
Arkansas,36.90054,56.26651,-19.36597,Trump
North Dakota,37.61334,56.25577,-18.64243,Trump
Louisiana,37.19253,55.78831,-18.59578,Trump
Alabama,38.10288,56.45134,-18.34846,Trump
Kentucky,38.41958,56.34384,-17.92426,Trump
Mississippi,39.27287,54.88013,-15.60726,Trump
Tennessee,39.97175,54.39183,-14.42008,Trump
South Dakota,40.0266,52.45875,-12.43215,Trump
Utah,39.98014,50.55722,-10.57708,Trump
Kansas,41.74784,51.11588,-9.36804,Trump
Indiana,41.15027,50.26511,-9.11484,Trump
South Carolina,43.24477,51.07876,-7.83399,Trump
Montana,44.15413,50.7568,-6.60267,Trump
Nebraska,43.77092,50.18927,-6.41835,Trump
Missouri,44.5267,50.91906,-6.39236,Trump
Alaska,43.19298,49.45969,-6.26671,Trump
NE-1,44.53768,49.44137,-4.90369,Trump
Ohio,46.3658,47.76656,-1.40076,Trump
Texas,46.54004,47.70491,-1.16487,Trump
Iowa,47.44374,46.06419,1.37955,Biden
Georgia,48.07426,46.6763,1.39796,Biden
ME-2,46.92707,45.12578,1.80129,Biden
Florida,48.90289,46.52765,2.37524,Biden
North Carolina,49.15032,46.51957,2.63075,Biden
Arizona,48.73773,45.57426,3.16347,Biden
Pennsylvania,50.24887,44.68492,5.56395,Biden
NE-2,49.49422,43.34504,6.14918,Biden
Nevada,49.67156,43.22075,6.45081,Biden
Wisconsin,51.39941,44.11868,7.28073,Biden
Minnesota,50.66901,42.44407,8.22494,Biden
Michigan,50.87672,42.33689,8.53983,Biden
National,52.15873,42.75169,9.40704,Biden
New Hampshire,53.41779,42.12538,11.29241,Biden
Virginia,52.52409,40.96698,11.55711,Biden
New Mexico,52.75575,40.93031,11.82544,Biden
Maine,53.45325,39.59267,13.86058,Biden
Colorado,53.60332,39.66201,13.94131,Biden
Illinois,54.72074,38.8672,15.85354,Biden
New Jersey,55.97701,36.1573,19.81971,Biden
Oregon,57.00699,37.11303,19.89396,Biden
Washington,58.23769,35.10547,23.13222,Biden
Delaware,57.75031,34.22515,23.52516,Biden
ME-1,57.89847,34.05374,23.84473,Biden
Connecticut,57.91931,33.61775,24.30156,Biden
California,60.99459,31.50243,29.49216,Biden
Maryland,61.40273,31.75639,29.64634,Biden
New York,61.23088,31.52862,29.70226,Biden
Hawaii,62.17952,30.589,31.59052,Biden
Rhode Island,64.26038,30.84862,33.41176,Biden
Vermont,63.25876,28.90045,34.35831,Biden
Massachusetts,65.02171,28.54597,36.47574,Biden
District of Columbia,86.91877,8.715788,78.202982,Biden
