"Date","Shanghai_Cases","Shanghai_Deaths","Beijing_Cases","Beijing_Deaths"
"1.22.20",9,0,14,0
"1.23.20",16,0,22,0
"1.24.20",20,0,36,0
"1.25.20",33,0,41,0
"1.26.20",40,1,68,0
"1.27.20",53,1,80,1
"1.28.20",66,1,91,1
"1.29.20",96,1,111,1
"1.30.20",112,1,114,1
"1.31.20",135,1,139,1
"2.1.20",169,1,168,1
"2.2.20",182,1,191,1
"2.3.20",203,1,212,1
"2.4.20",219,1,228,1
"2.5.20",243,1,253,1
"2.6.20",257,1,274,1
"2.7.20",277,1,297,1
"2.8.20",286,1,315,2
"2.9.20",293,1,326,2
"2.10.20",299,1,337,2
"2.11.20",303,1,342,3
"2.12.20",311,1,352,3
"2.13.20",315,1,366,3
"2.14.20",318,1,372,3
"2.15.20",326,1,375,4
"2.16.20",328,1,380,4
"2.17.20",333,1,381,4
"2.18.20",333,1,387,4
"2.19.20",333,2,393,4
"2.20.20",334,2,395,4
"2.21.20",334,2,396,4
"2.22.20",335,3,399,4
"2.23.20",335,3,399,4
"2.24.20",335,3,399,4
"2.25.20",336,3,400,4
"2.26.20",337,3,400,4
"2.27.20",337,3,410,5
"2.28.20",337,3,410,7
"2.29.20",337,3,411,8
"3.1.20",337,3,413,8
"3.2.20",337,3,414,8
"3.3.20",338,3,414,8
"3.4.20",338,3,418,8
"3.5.20",339,3,418,8
"3.6.20",342,3,422,8
"3.7.20",342,3,426,8
"3.8.20",342,3,428,8
"3.9.20",342,3,428,8
"3.10.20",344,3,429,8
"3.11.20",344,3,435,8
"3.12.20",344,3,435,8
"3.13.20",346,3,436,8
"3.14.20",353,3,437,8
"3.15.20",353,3,442,8
"3.16.20",355,3,452,8
"3.17.20",358,3,456,8
"3.18.20",361,3,469,8
"3.19.20",363,3,480,8
"3.20.20",371,3,491,8
"3.21.20",380,3,504,8
"3.22.20",404,4,522,8
"3.23.20",404,4,537,8
"3.24.20",414,4,558,8
"3.25.20",433,5,561,8
"3.26.20",451,5,566,8
"3.27.20",468,5,569,8
"3.28.20",485,5,573,8
"3.29.20",492,5,577,8
"3.30.20",498,5,577,8
"3.31.20",509,5,580,8
"4.1.20",516,6,580,8
"4.2.20",522,6,582,8
"4.3.20",526,6,584,8
"4.4.20",529,6,585,8
"4.5.20",531,6,586,8
"4.6.20",536,6,587,8
"4.7.20",538,6,587,8
"4.8.20",543,7,588,8
"4.9.20",552,7,588,8
"4.10.20",555,7,588,8
"4.11.20",555,7,589,8
"4.12.20",607,7,589,8
"4.13.20",618,7,589,8
"4.14.20",618,7,589,8
"4.15.20",622,7,590,8
"4.16.20",628,7,593,8
"4.17.20",628,7,593,8
"4.18.20",628,7,593,8
"4.19.20",635,7,593,8
"4.20.20",638,7,593,8
"4.21.20",638,7,593,8
"4.22.20",639,7,593,8
"4.23.20",641,7,593,8
"4.24.20",641,7,593,8
"4.25.20",642,7,593,8
"4.26.20",642,7,593,9
"4.27.20",644,7,593,9
"4.28.20",645,7,593,9
"4.29.20",647,7,593,9
