State,County in Cases,County in Google Mobility
Alaska,Bethel Census Area,Bethel
Alaska,City and Borough of Juneau,Juneau
Alaska,Fairbanks North Star Borough,Fairbanks North Star
Alaska,Ketchikan Gateway Borough,Ketchikan Gateway
Alaska,Kodiak Island Borough,Kodiak Island
Alaska,Matanuska-Susitna Borough,Matanuska-Susitna
Alaska,Municipality of Anchorage,Anchorage
Alaska,North Slope Borough,North Slope
Alaska,Sitka City and Borough,Sitka
Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks
Alaska,Valdez-Cordova Census Area,Valdez-Cordova
Colorado,Broomfield County and City,Broomfield County
Maryland,Baltimore City,Baltimore
Minnesota,Lac Qui Parle County,Lac qui Parle County
Missouri,City of St. Louis,St. Louis
Missouri,Jackson County (including other portions of Kansas City),Jackson County
New Mexico,Dona Ana County,Doña Ana County
South Dakota,Oglala Lakota County,Shannon County
Virginia,Alexandria City,Alexandria
Virginia,Bristol city,Bristol
Virginia,Buena Vista city,Buena Vista
Virginia,Charlottesville City,Charlottesville
Virginia,Chesapeake City,Chesapeake
Virginia,Colonial Heights city,Colonial Heights
Virginia,Covington city,Covington
Virginia,Danville City,Danville
Virginia,Emporia city,Emporia
Virginia,Fairfax city,Fairfax
Virginia,Falls Church city,Falls Church
Virginia,Franklin city,Franklin
Virginia,Fredericksburg City,Fredericksburg
Virginia,Galax city,Galax
Virginia,Hampton city,Hampton
Virginia,Harrisonburg City,Harrisonburg
Virginia,Hopewell city,Hopewell
Virginia,Lexington city,Lexington
Virginia,Lynchburg city,Lynchburg
Virginia,Manassas City,Manassas
Virginia,Manassas Park city,Manassas Park
Virginia,Martinsville city,Martinsville
Virginia,Matthews County,Mathews County
Virginia,Newport News City,Newport News
Virginia,Norfolk City,Norfolk
Virginia,Norton city,Norton
Virginia,Petersburg city,Petersburg
Virginia,Poquoson city,Poquoson
Virginia,Portsmouth City,Portsmouth
Virginia,Radford city,Radford
Virginia,Richmond City,Richmond
Virginia,Roanoke city,Roanoke
Virginia,Salem city,Salem
Virginia,Staunton city,Staunton
Virginia,Suffolk City,Suffolk
Virginia,Virginia Beach City,Virginia Beach
Virginia,Waynesboro city,Waynesboro
Virginia,Williamsburg City,Williamsburg
Virginia,Winchester city,Winchester
